!CSV A.01.01,,,,,,,,,,,,
!Ceyear Technologies,3672E,ZFL00040,2.1.5,,,,,,,,,
!Date:,2022/6/12 12:11,,,,,,,,,,,
!Source:,GCA Sweep Data,,,,,,,,,,,
,,,,,,,,,,,,
Calibration State:,ON,,,,,,,,,,,
Num Freq Points: ,101,,,,,,,,,,,
Num Iterations: ,30,,,,,,,,,,,
,,,,,,,,,,,,
Frequncy,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
2.04E+09,-0.082174,-18.714928,-6.521084,-122.601374,7.76247,42.257496,14.835565,165.183355,-0.552011,-0.324485,0,0
2.04E+09,-0.082174,-18.714928,-6.005871,-122.050433,8.198188,42.795696,14.835565,165.183355,-0.631506,-0.337225,0,0
2.04E+09,-0.082174,-18.714928,-5.491525,-121.461499,8.631929,43.378667,14.835565,165.183355,-0.71211,-0.343189,0,0
2.04E+09,-0.082174,-18.714928,-4.974986,-120.941083,9.0725,43.882866,14.835565,165.183355,-0.788079,-0.359405,0,0
2.04E+09,-0.082174,-18.714928,-4.4586,-120.353642,9.468391,44.475147,14.835565,165.183355,-0.908573,-0.354565,0,0
2.04E+09,-0.082174,-18.714928,-3.941203,-119.754349,9.87045,45.072703,14.835565,165.183355,-1.023911,-0.356302,0,0
2.04E+09,-0.082174,-18.714928,-3.424421,-119.192833,10.264485,45.645541,14.835565,165.183355,-1.146659,-0.34498,0,0
2.04E+09,-0.082174,-18.714928,-2.905532,-118.62451,10.615883,46.235367,14.835565,165.183355,-1.31415,-0.323478,0,0
2.04E+09,-0.082174,-18.714928,-2.38672,-117.983811,10.963076,46.900043,14.835565,165.183355,-1.485768,-0.2995,0,0
2.04E+09,-0.082174,-18.714928,-1.867486,-117.380364,11.29804,47.539755,14.835565,165.183355,-1.670039,-0.263235,0,0
2.04E+09,-0.082174,-18.714928,-1.350401,-116.797229,11.588529,48.16237,14.835565,165.183355,-1.896634,-0.223755,0,0
2.04E+09,-0.082174,-18.714928,-0.831852,-116.191801,11.862546,48.81828,14.835565,165.183355,-2.141167,-0.173274,0,0
2.04E+09,-0.082174,-18.714928,-0.314077,-115.60696,12.124127,49.454283,14.835565,165.183355,-2.397361,-0.122111,0,0
2.04E+09,-0.082174,-18.714928,0.202663,-114.97594,12.339175,50.139882,14.835565,165.183355,-2.699053,-0.067533,0,0
2.04E+09,-0.082174,-18.714928,0.717084,-114.405667,12.53433,50.7715,14.835565,165.183355,-3.018319,-0.006187,0,0
2.04E+09,-0.082174,-18.714928,1.231993,-113.790876,12.709246,51.428655,14.835565,165.183355,-3.358312,0.036175,0,0
2.04E+09,-0.082174,-18.714928,1.746131,-113.189944,12.849837,52.083219,14.835565,165.183355,-3.731858,0.089809,0,0
2.04E+09,-0.082174,-18.714928,2.258491,-112.610476,12.971531,52.696073,14.835565,165.183355,-4.122524,0.123194,0,0
2.04E+09,-0.082174,-18.714928,2.767439,-111.973376,13.083756,53.37153,14.835565,165.183355,-4.519248,0.161551,0,0
2.04E+09,-0.082174,-18.714928,3.275713,-111.350704,13.171705,54.02939,14.835565,165.183355,-4.939573,0.196738,0,0
2.04E+09,-0.082174,-18.714928,3.78249,-110.70957,13.251473,54.70376,14.835565,165.183355,-5.366582,0.229976,0,0
2.04E+09,-0.082174,-18.714928,4.286951,-110.136786,13.322731,55.305253,14.835565,165.183355,-5.799785,0.258685,0,0
2.04E+09,-0.082174,-18.714928,4.787909,-109.504184,13.378924,55.967085,14.835565,165.183355,-6.24455,0.287914,0,0
2.08E+09,-0.114719,-19.303242,-10.403436,86.221561,4.143812,-109.080015,14.786316,164.904519,-0.239068,-0.206096,0,0
2.08E+09,-0.114719,-19.303242,-9.8963,86.682397,4.603627,-108.649122,14.786316,164.904519,-0.286389,-0.236038,0,0
2.08E+09,-0.114719,-19.303242,-9.387884,87.137866,5.07554,-108.203782,14.786316,164.904519,-0.322892,-0.246167,0,0
2.08E+09,-0.114719,-19.303242,-8.878194,87.629624,5.560295,-107.736459,14.786316,164.904519,-0.347827,-0.270603,0,0
2.08E+09,-0.114719,-19.303242,-8.368363,88.078941,6.010234,-107.297508,14.786316,164.904519,-0.407718,-0.280968,0,0
2.08E+09,-0.114719,-19.303242,-7.857462,88.591618,6.474033,-106.807406,14.786316,164.904519,-0.454822,-0.303544,0,0
2.08E+09,-0.114719,-19.303242,-7.344348,89.092875,6.948108,-106.320556,14.786316,164.904519,-0.49386,-0.31795,0,0
2.08E+09,-0.114719,-19.303242,-6.830329,89.610985,7.387349,-105.823476,14.786316,164.904519,-0.568638,-0.338981,0,0
2.08E+09,-0.114719,-19.303242,-6.317334,90.12593,7.837313,-105.326982,14.786316,164.904519,-0.631669,-0.357431,0,0
2.08E+09,-0.114719,-19.303242,-5.800623,90.666618,8.290165,-104.793452,14.786316,164.904519,-0.695528,-0.364589,0,0
2.08E+09,-0.114719,-19.303242,-5.284318,91.169484,8.705763,-104.294722,14.786316,164.904519,-0.796234,-0.368725,0,0
2.08E+09,-0.114719,-19.303242,-4.767858,91.701225,9.121674,-103.777281,14.786316,164.904519,-0.896784,-0.383026,0,0
2.08E+09,-0.114719,-19.303242,-4.251707,92.276641,9.540305,-103.195886,14.786316,164.904519,-0.994305,-0.377046,0,0
2.08E+09,-0.114719,-19.303242,-3.734097,92.797785,9.91389,-102.669679,14.786316,164.904519,-1.13833,-0.371983,0,0
2.08E+09,-0.114719,-19.303242,-3.215161,93.384511,10.286357,-102.072962,14.786316,164.904519,-1.284798,-0.361992,0,0
2.08E+09,-0.114719,-19.303242,-2.696454,93.961965,10.646793,-101.481488,14.786316,164.904519,-1.443069,-0.347972,0,0
2.08E+09,-0.114719,-19.303242,-2.179918,94.54869,10.962638,-100.86667,14.786316,164.904519,-1.64376,-0.319879,0,0
2.08E+09,-0.114719,-19.303242,-1.661561,95.111743,11.266794,-100.273658,14.786316,164.904519,-1.857962,-0.289921,0,0
2.08E+09,-0.114719,-19.303242,-1.14369,95.689437,11.552676,-99.670595,14.786316,164.904519,-2.08995,-0.264552,0,0
2.08E+09,-0.114719,-19.303242,-0.626813,96.285717,11.795075,-99.034323,14.786316,164.904519,-2.364428,-0.224559,0,0
2.08E+09,-0.114719,-19.303242,-0.112838,96.875382,12.014044,-98.415997,14.786316,164.904519,-2.659434,-0.195898,0,0
2.08E+09,-0.114719,-19.303242,0.401418,97.449299,12.215707,-97.809916,14.786316,164.904519,-2.972027,-0.163735,0,0
2.08E+09,-0.114719,-19.303242,0.914376,98.051733,12.374419,-97.192631,14.786316,164.904519,-3.326273,-0.148883,0,0
2.08E+09,-0.114719,-19.303242,1.427549,98.624131,12.519619,-96.607427,14.786316,164.904519,-3.694245,-0.136078,0,0
2.08E+09,-0.114719,-19.303242,1.936969,99.244995,12.649872,-95.982632,14.786316,164.904519,-4.073413,-0.132147,0,0
2.08E+09,-0.114719,-19.303242,2.445895,99.813222,12.757528,-95.416115,14.786316,164.904519,-4.474683,-0.133857,0,0
2.08E+09,-0.114719,-19.303242,2.953721,100.409483,12.85163,-94.824117,14.786316,164.904519,-4.888407,-0.13812,0,0
2.08E+09,-0.114719,-19.303242,3.460169,101.046458,12.939517,-94.183104,14.786316,164.904519,-5.306968,-0.134082,0,0
2.08E+09,-0.114719,-19.303242,3.963406,101.707152,13.009697,-93.536366,14.786316,164.904519,-5.740025,-0.148037,0,0
2.08E+09,-0.114719,-19.303242,4.466032,102.30349,13.074022,-92.946371,14.786316,164.904519,-6.178325,-0.15438,0,0
2.12E+09,-0.082286,-19.539523,-10.375398,-53.811011,4.190051,110.567176,14.838966,164.563918,-0.273517,-0.185731,0,0
2.12E+09,-0.082286,-19.539523,-9.86966,-53.351094,4.664093,111.011338,14.838966,164.563918,-0.305213,-0.201485,0,0
2.12E+09,-0.082286,-19.539523,-9.360903,-52.887919,5.14598,111.450555,14.838966,164.563918,-0.332083,-0.225444,0,0
2.12E+09,-0.082286,-19.539523,-8.851515,-52.417139,5.602556,111.918888,14.838966,164.563918,-0.384894,-0.227891,0,0
2.12E+09,-0.082286,-19.539523,-8.340539,-51.991299,6.061132,112.321766,14.838966,164.563918,-0.437294,-0.250852,0,0
2.12E+09,-0.082286,-19.539523,-7.830336,-51.516847,6.541064,112.791693,14.838966,164.563918,-0.467566,-0.255377,0,0
2.12E+09,-0.082286,-19.539523,-7.316639,-50.989178,6.97846,113.322815,14.838966,164.563918,-0.543867,-0.251925,0,0
2.12E+09,-0.082286,-19.539523,-6.802132,-50.484024,7.42995,113.817464,14.838966,164.563918,-0.606884,-0.262429,0,0
2.12E+09,-0.082286,-19.539523,-6.287314,-49.980654,7.883997,114.323105,14.838966,164.563918,-0.667656,-0.260159,0,0
2.12E+09,-0.082286,-19.539523,-5.772336,-49.495445,8.304635,114.817333,14.838966,164.563918,-0.761995,-0.251139,0,0
2.12E+09,-0.082286,-19.539523,-5.255873,-48.938048,8.726543,115.386809,14.838966,164.563918,-0.85655,-0.23906,0,0
2.12E+09,-0.082286,-19.539523,-4.739094,-48.437008,9.148224,115.906784,14.838966,164.563918,-0.951648,-0.220125,0,0
2.12E+09,-0.082286,-19.539523,-4.220998,-47.905361,9.530939,116.482385,14.838966,164.563918,-1.087029,-0.176171,0,0
2.12E+09,-0.082286,-19.539523,-3.704442,-47.337533,9.901371,117.095139,14.838966,164.563918,-1.233153,-0.131245,0,0
2.12E+09,-0.082286,-19.539523,-3.185888,-46.77957,10.269544,117.711264,14.838966,164.563918,-1.383534,-0.073083,0,0
2.12E+09,-0.082286,-19.539523,-2.666399,-46.211952,10.590655,118.341729,14.838966,164.563918,-1.581912,-0.010237,0,0
2.12E+09,-0.082286,-19.539523,-2.148392,-45.633995,10.905417,119.002891,14.838966,164.563918,-1.785157,0.072969,0,0
2.12E+09,-0.082286,-19.539523,-1.6298,-45.049021,11.203781,119.668914,14.838966,164.563918,-2.005385,0.154017,0,0
2.12E+09,-0.082286,-19.539523,-1.110822,-44.444681,11.46277,120.368026,14.838966,164.563918,-2.265375,0.248789,0,0
2.12E+09,-0.082286,-19.539523,-0.592974,-43.876168,11.700104,121.03238,14.838966,164.563918,-2.545887,0.344631,0,0
2.12E+09,-0.082286,-19.539523,-0.07775,-43.307443,11.920178,121.695328,14.838966,164.563918,-2.841038,0.438854,0,0
2.12E+09,-0.082286,-19.539523,0.437615,-42.703522,12.097468,122.385856,14.838966,164.563918,-3.179113,0.52546,0,0
2.12E+09,-0.082286,-19.539523,0.953475,-42.101017,12.255414,123.070979,14.838966,164.563918,-3.537026,0.608079,0,0
2.12E+09,-0.082286,-19.539523,1.467564,-41.514776,12.397095,123.729939,14.838966,164.563918,-3.909435,0.680798,0,0
2.12E+09,-0.082286,-19.539523,1.979072,-40.880851,12.511672,124.430431,14.838966,164.563918,-4.306367,0.747364,0,0
2.12E+09,-0.082286,-19.539523,2.490155,-40.304934,12.611124,125.073894,14.838966,164.563918,-4.717997,0.81491,0,0
2.12E+09,-0.082286,-19.539523,2.999529,-39.718429,12.700833,125.728726,14.838966,164.563918,-5.137662,0.883237,0,0
2.12E+09,-0.082286,-19.539523,3.506817,-39.064204,12.777406,126.44311,14.838966,164.563918,-5.568377,0.943396,0,0
2.12E+09,-0.082286,-19.539523,4.010845,-38.480231,12.840291,127.080788,14.838966,164.563918,-6.00952,0.997101,0,0
2.12E+09,-0.082286,-19.539523,4.514466,-37.892892,12.897589,127.731019,14.838966,164.563918,-6.455843,1.059994,0,0
2.16E+09,-0.112753,-20.146848,-10.350253,16.920288,4.223603,-179.01318,14.811934,164.275216,-0.238078,-0.208685,0,0
2.16E+09,-0.112753,-20.146848,-9.841199,17.390715,4.718409,-178.551678,14.811934,164.275216,-0.252326,-0.217609,0,0
2.16E+09,-0.112753,-20.146848,-9.332345,17.825424,5.175506,-178.151777,14.811934,164.275216,-0.304082,-0.252417,0,0
2.16E+09,-0.112753,-20.146848,-8.823251,18.277673,5.646437,-177.714887,14.811934,164.275216,-0.342246,-0.267776,0,0
2.16E+09,-0.112753,-20.146848,-8.311728,18.743899,6.131762,-177.273114,14.811934,164.275216,-0.368444,-0.29223,0,0
2.16E+09,-0.112753,-20.146848,-7.799065,19.224522,6.578806,-176.812051,14.811934,164.275216,-0.434064,-0.311789,0,0
2.16E+09,-0.112753,-20.146848,-7.28528,19.694288,7.032841,-176.360302,14.811934,164.275216,-0.493813,-0.329807,0,0
2.16E+09,-0.112753,-20.146848,-6.771568,20.200989,7.504151,-175.880169,14.811934,164.275216,-0.536214,-0.356375,0,0
2.16E+09,-0.112753,-20.146848,-6.255988,20.717015,7.932148,-175.387639,14.811934,164.275216,-0.623798,-0.37987,0,0
2.16E+09,-0.112753,-20.146848,-5.738873,21.249033,8.371364,-174.874556,14.811934,164.275216,-0.701697,-0.398806,0,0
2.16E+09,-0.112753,-20.146848,-5.222263,21.79569,8.807135,-174.34458,14.811934,164.275216,-0.782536,-0.415486,0,0
2.16E+09,-0.112753,-20.146848,-4.706694,22.319981,9.211302,-173.837756,14.811934,164.275216,-0.893938,-0.432954,0,0
2.16E+09,-0.112753,-20.146848,-4.188589,22.876484,9.607533,-173.296026,14.811934,164.275216,-1.015811,-0.447726,0,0
2.16E+09,-0.112753,-20.146848,-3.66987,23.396732,9.999346,-172.779155,14.811934,164.275216,-1.142718,-0.451103,0,0
2.16E+09,-0.112753,-20.146848,-3.151088,24.007131,10.355729,-172.164702,14.811934,164.275216,-1.305117,-0.44705,0,0
2.16E+09,-0.112753,-20.146848,-2.633515,24.561368,10.698743,-171.598831,14.811934,164.275216,-1.479676,-0.435415,0,0
2.16E+09,-0.112753,-20.146848,-2.114766,25.184336,11.02958,-170.962603,14.811934,164.275216,-1.667588,-0.422155,0,0
2.16E+09,-0.112753,-20.146848,-1.596258,25.729127,11.325114,-170.399587,14.811934,164.275216,-1.890562,-0.40393,0,0
2.16E+09,-0.112753,-20.146848,-1.078405,26.294955,11.606641,-169.801036,14.811934,164.275216,-2.126887,-0.371208,0,0
2.16E+09,-0.112753,-20.146848,-0.562698,26.911307,11.865485,-169.147711,14.811934,164.275216,-2.38375,-0.334233,0,0
2.16E+09,-0.112753,-20.146848,-0.046645,27.446662,12.1012,-168.5682,14.811934,164.275216,-2.66409,-0.290079,0,0
2.16E+09,-0.112753,-20.146848,0.468664,28.057437,12.30661,-167.916799,14.811934,164.275216,-2.973988,-0.249453,0,0
2.16E+09,-0.112753,-20.146848,0.983072,28.67718,12.49268,-167.254302,14.811934,164.275216,-3.302326,-0.206698,0,0
2.16E+09,-0.112753,-20.146848,1.494093,29.253573,12.648983,-166.6313,14.811934,164.275216,-3.657043,-0.16009,0,0
2.16E+09,-0.112753,-20.146848,2.00554,29.876438,12.783795,-165.976157,14.811934,164.275216,-4.033679,-0.127811,0,0
2.16E+09,-0.112753,-20.146848,2.514725,30.457021,12.901943,-165.361156,14.811934,164.275216,-4.424716,-0.093393,0,0
2.16E+09,-0.112753,-20.146848,3.022156,31.078297,13.008645,-164.723055,14.811934,164.275216,-4.825445,-0.076568,0,0
2.16E+09,-0.112753,-20.146848,3.52646,31.707404,13.097051,-164.065181,14.811934,164.275216,-5.241343,-0.047801,0,0
2.16E+09,-0.112753,-20.146848,4.029504,32.298467,13.176586,-163.45533,14.811934,164.275216,-5.664852,-0.029013,0,0
2.16E+09,-0.112753,-20.146848,4.531542,32.931732,13.249232,-162.80266,14.811934,164.275216,-6.094244,-0.009608,0,0
2.20E+09,-0.073063,-20.726945,-10.054043,-129.24348,4.484798,34.51886,14.796347,164.01898,-0.257506,-0.256641,0,0
2.20E+09,-0.073063,-20.726945,-9.546628,-128.818045,4.941089,34.914742,14.796347,164.01898,-0.30863,-0.286194,0,0
2.20E+09,-0.073063,-20.726945,-9.037358,-128.360227,5.410805,35.348482,14.796347,164.01898,-0.348184,-0.310271,0,0
2.20E+09,-0.073063,-20.726945,-8.526956,-127.944826,5.892335,35.742124,14.796347,164.01898,-0.377056,-0.33203,0,0
2.20E+09,-0.073063,-20.726945,-8.01539,-127.506672,6.344248,36.152433,14.796347,164.01898,-0.436709,-0.359874,0,0
2.20E+09,-0.073063,-20.726945,-7.503819,-126.996117,6.802711,36.638094,14.796347,164.01898,-0.489817,-0.384769,0,0
2.20E+09,-0.073063,-20.726945,-6.990085,-126.54316,7.269531,37.079357,14.796347,164.01898,-0.536732,-0.396464,0,0
2.20E+09,-0.073063,-20.726945,-6.474945,-126.031303,7.712393,37.558219,14.796347,164.01898,-0.60901,-0.429459,0,0
2.20E+09,-0.073063,-20.726945,-5.958941,-125.502954,8.149154,38.056939,14.796347,164.01898,-0.688252,-0.459087,0,0
2.20E+09,-0.073063,-20.726945,-5.444412,-125.036022,8.590466,38.514893,14.796347,164.01898,-0.761469,-0.468066,0,0
2.20E+09,-0.073063,-20.726945,-4.927159,-124.528364,9.004456,38.991641,14.796347,164.01898,-0.864732,-0.498975,0,0
2.20E+09,-0.073063,-20.726945,-4.409311,-123.949092,9.409426,39.55287,14.796347,164.01898,-0.97761,-0.517019,0,0
2.20E+09,-0.073063,-20.726945,-3.89086,-123.432905,9.806187,40.040776,14.796347,164.01898,-1.099301,-0.545298,0,0
2.20E+09,-0.073063,-20.726945,-3.373939,-122.90948,10.179715,40.56052,14.796347,164.01898,-1.242693,-0.54898,0,0
2.20E+09,-0.073063,-20.726945,-2.855121,-122.29836,10.527995,41.151969,14.796347,164.01898,-1.413231,-0.568651,0,0
2.20E+09,-0.073063,-20.726945,-2.33532,-121.780976,10.865818,41.66476,14.796347,164.01898,-1.59521,-0.573244,0,0
2.20E+09,-0.073063,-20.726945,-1.816474,-121.220521,11.17662,42.226447,14.796347,164.01898,-1.803253,-0.572012,0,0
2.20E+09,-0.073063,-20.726945,-1.299325,-120.670577,11.457057,42.766655,14.796347,164.01898,-2.039966,-0.581749,0,0
2.20E+09,-0.073063,-20.726945,-0.781009,-120.047952,11.717668,43.38164,14.796347,164.01898,-2.29767,-0.589387,0,0
2.20E+09,-0.073063,-20.726945,-0.2641,-119.462991,11.951284,43.967512,14.796347,164.01898,-2.580964,-0.588477,0,0
2.20E+09,-0.073063,-20.726945,0.252553,-118.849916,12.145231,44.590589,14.796347,164.01898,-2.90367,-0.578476,0,0
2.20E+09,-0.073063,-20.726945,0.767728,-118.278412,12.316699,45.165539,14.796347,164.01898,-3.247377,-0.57503,0,0
2.20E+09,-0.073063,-20.726945,1.282684,-117.679316,12.471785,45.75076,14.796347,164.01898,-3.607246,-0.588904,0,0
2.20E+09,-0.073063,-20.726945,1.796633,-117.012584,12.5931,46.407164,14.796347,164.01898,-3.99988,-0.599232,0,0
2.20E+09,-0.073063,-20.726945,2.307301,-116.379844,12.705562,47.035761,14.796347,164.01898,-4.398086,-0.603375,0,0
2.20E+09,-0.073063,-20.726945,2.817451,-115.719787,12.805762,47.676528,14.796347,164.01898,-4.808036,-0.622665,0,0
2.20E+09,-0.073063,-20.726945,3.326227,-115.107154,12.887539,48.272298,14.796347,164.01898,-5.235036,-0.639529,0,0
2.20E+09,-0.073063,-20.726945,3.833122,-114.497356,12.960313,48.88556,14.796347,164.01898,-5.669157,-0.636064,0,0
2.20E+09,-0.073063,-20.726945,4.33628,-113.863151,13.025958,49.51186,14.796347,164.01898,-6.106669,-0.643969,0,0
2.20E+09,-0.073063,-20.726945,4.838732,-113.230417,13.079593,50.136703,14.796347,164.01898,-6.555486,-0.651861,0,0
2.24E+09,-0.08469,-21.487693,-10.371734,-55.733348,4.214327,107.358028,14.780404,163.287421,-0.194342,-0.196046,0,0
2.24E+09,-0.08469,-21.487693,-9.861642,-55.251153,4.693932,107.828733,14.780404,163.287421,-0.22483,-0.207534,0,0
2.24E+09,-0.08469,-21.487693,-9.350346,-54.807028,5.195986,108.263959,14.780404,163.287421,-0.234071,-0.216435,0,0
2.24E+09,-0.08469,-21.487693,-8.838433,-54.34064,5.65985,108.694093,14.780404,163.287421,-0.282121,-0.252688,0,0
2.24E+09,-0.08469,-21.487693,-8.325431,-53.84944,6.14064,109.174601,14.780404,163.287421,-0.314332,-0.26338,0,0
2.24E+09,-0.08469,-21.487693,-7.812789,-53.397474,6.629031,109.612132,14.780404,163.287421,-0.338584,-0.277815,0,0
2.24E+09,-0.08469,-21.487693,-7.298009,-52.903904,7.095085,110.082827,14.780404,163.287421,-0.38731,-0.30069,0,0
2.24E+09,-0.08469,-21.487693,-6.781051,-52.386377,7.564356,110.58231,14.780404,163.287421,-0.434997,-0.318734,0,0
2.24E+09,-0.08469,-21.487693,-6.265109,-51.876023,8.045825,111.080886,14.780404,163.287421,-0.46947,-0.330512,0,0
2.24E+09,-0.08469,-21.487693,-5.749341,-51.399689,8.501552,111.532314,14.780404,163.287421,-0.529511,-0.355419,0,0
2.24E+09,-0.08469,-21.487693,-5.231899,-50.876627,8.959412,112.047788,14.780404,163.287421,-0.589093,-0.363006,0,0
2.24E+09,-0.08469,-21.487693,-4.713176,-50.29605,9.424874,112.619296,14.780404,163.287421,-0.642354,-0.372075,0,0
2.24E+09,-0.08469,-21.487693,-4.194402,-49.77921,9.865618,113.117839,14.780404,163.287421,-0.720384,-0.390372,0,0
2.24E+09,-0.08469,-21.487693,-3.676759,-49.211795,10.302967,113.674336,14.780404,163.287421,-0.800677,-0.401289,0,0
2.24E+09,-0.08469,-21.487693,-3.157943,-48.607667,10.731696,114.277207,14.780404,163.287421,-0.890765,-0.402547,0,0
2.24E+09,-0.08469,-21.487693,-2.639158,-48.070265,11.149116,114.816469,14.780404,163.287421,-0.99213,-0.400687,0,0
2.24E+09,-0.08469,-21.487693,-2.121064,-47.503842,11.543339,115.378854,14.780404,163.287421,-1.116001,-0.404725,0,0
2.24E+09,-0.08469,-21.487693,-1.604868,-46.930341,11.928455,115.961409,14.780404,163.287421,-1.247081,-0.395671,0,0
2.24E+09,-0.08469,-21.487693,-1.087152,-46.321565,12.293282,116.576568,14.780404,163.287421,-1.39997,-0.389288,0,0
2.24E+09,-0.08469,-21.487693,-0.570983,-45.708976,12.626778,117.204545,14.780404,163.287421,-1.582643,-0.3739,0,0
